Solute InChIKey,Solute SMILES,Solvent InChIKey,Solvent SMILES,LogS,Concentration,MW,Volume,MP,Source
MFYSYFVPBJMHGN-ZPOLXVRWSA-N,O=C(CO)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)CC[C@]1(C)[C@H]4C(=O)C[C@@]23C,YZUUTMGDONTGTN-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO,-1.66,0.021877616,360.4,329.44,52,ONSC
DGFBULNMARLFTH-UHFFFAOYSA-N,O(C(CCO[N+](=O)[O-])C)[N+](=O)[O-],XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.659,0.021928049,180.12,148.528,190,ONSC
CPJSUEIXXCENMM-UHFFFAOYSA-N,O=C(Nc1ccc(OCC)cc1)C,UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,-1.657577319,0.022,179.22,173.56,129,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,PHTQWCKDNZKARW-UHFFFAOYSA-N,OCCC(C)C,-1.652202369,0.02227397,216.3,179.496,103.5,ONSC
BGRJTUBHPOOWDU-UHFFFAOYSA-N,O=S(=O)(N)c1cc(c(OC)cc1)C(=O)NCC2N(CC)CCC2,DHXVGJBLRPWPCS-UHFFFAOYSA-N,O1CCCCC1,-1.649409861,0.022417653,341.4,305.28,224,ONSC
SKZKKFZAGNVIMN-UHFFFAOYSA-N,O=C(c1ccccc1O)N,PYLWMHQQBFSUBP-UHFFFAOYSA-N,Fc1ccccc1,-1.649199821,0.022428497,137.14,122.696,247.5,ONSC
QSNSCYSYFYORTR-UHFFFAOYSA-N,Clc1ccc(cc1)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.66,0.021877616,127.57,110.68,-52,ONSC
MFYSYFVPBJMHGN-ZPOLXVRWSA-N,O=C(CO)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)CC[C@]1(C)[C@H]4C(=O)C[C@@]23C,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,-1.679853714,0.0209,360.4,330.64,52,ONSC
QPPBRPIAZZHUNT-UHFFFAOYSA-N,O=S(=O)(Nc1nc(ccn1)C)c2ccc(N)cc2,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,-1.645315446,0.02263,264.31,223.152,300,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,-1.669788782,0.021390021,216.3,179.768,103.5,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,MSXVEPNJUHWQHW-UHFFFAOYSA-N,OC(C)(C)CC,-1.665654377,0.021594623,216.3,179.76,103.5,ONSC
VOXZDWNPVJITMN-SFFUCWETSA-N,Oc1cc3c(cc1)[C@H]2CC[C@@]4([C@H](O)CC[C@H]4[C@@H]2CC3)C,HVQYDIHGXSIMTE-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO.O,-1.629,0.023496328,272.4,263.48,176.5,ONSC
POLCUAVZOMRGSN-UHFFFAOYSA-N,O(CCC)CCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.62,0.023988329,102.17,120.504,11,ONSC
SKZKKFZAGNVIMN-UHFFFAOYSA-N,O=C(c1ccccc1O)N,DURPTKYDGMDSBL-UHFFFAOYSA-N,O(CCCC)CCCC,-1.619788758,0.024,137.14,122.496,247.5,ONSC
FYJJXENSONZJRG-UHFFFAOYSA-N,C2(Cc1ccccc1)(OCCCN(C)C)CCCCCC2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.619,0.024043628,289.5,306.288,100,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,RUOJZAUFBMNUDX-UHFFFAOYSA-N,CC1COC(=O)O1,-1.61865269,0.024062864,178.23,168.896,32.5,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,CNDHHGUSRIZDSL-UHFFFAOYSA-N,ClCCCCCCCC,-1.617156117,0.024145927,212.27,177.824,118,ONSC
UJOBWOGCFQCDNV-UHFFFAOYSA-N,c1ccc2c(c1)c3ccccc3[nH]2,UNFUYWDGSFDHCW-UHFFFAOYSA-N,ClC1CCCCC1,-1.617126266,0.024147587,167.21,154.448,182,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,-1.619698339,0.024004997,216.3,179.272,103.5,ONSC
SATCULPHIDQDRE-UHFFFAOYSA-N,O1COc2c1cc(cc2)C=O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.63,0.023442288,150.13,127.52,153.5,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,PFNHSEQQEPMLNI-UHFFFAOYSA-N,OCC(C)CCC,-1.641230635,0.022843853,216.3,180.128,103.5,ONSC
CVHZOJJKTDOEJC-UHFFFAOYSA-N,S1(=O)(=O)NC(=O)c2c1cccc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.64,0.022908677,183.19,139.888,240,ONSC
WEEGYLXZBRQIMU-UHFFFAOYSA-N,O1C2(CCC(C1(C)C)CC2)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.64,0.022908677,154.25,163.976,125.5,ONSC
LGXVIGDEPROXKC-UHFFFAOYSA-N,C(=C)(Cl)Cl,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.64,0.022908677,96.94,70.072,180,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,BTGRAWJCKBQKAO-UHFFFAOYSA-N,N#CCCCCC#N,-1.637727519,0.023028862,178.23,168.312,32.5,ONSC
OIRDTQYFTABQOQ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,YZUUTMGDONTGTN-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO,-1.637,0.023067472,267.24,218.224,84.8,ONSC
AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,HVQYDIHGXSIMTE-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO.O,-1.635,0.023173946,296.5,264.784,296,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,JSGVZVOGOQILFM-UHFFFAOYSA-N,OCCC(OC)C,-1.630440467,0.023418525,178.23,168.616,32.5,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,-1.612330846,0.024415699,216.3,180.144,103.5,ONSC
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,O=C2c1ccccc1C(=O)c3c2cccc3Cl,BZLVMXJERCGZMT-UHFFFAOYSA-N,O(C(C)(C)C)C,-1.736836107,0.01833006,242.65,196.112,38,ONSC
CYNYIHKIEHGYOZ-UHFFFAOYSA-N,BrCCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.73,0.018620871,122.99,82.016,-2,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,O(C(C)C)C(C)C,-1.728452199,0.018687354,178.23,168.296,32.5,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,GQCZPFJGIXHZMB-UHFFFAOYSA-N,OC(C)COC(C)(C)C,-1.727730805,0.01871842,178.23,168.232,32.5,ONSC
JZFPYUNJRRFVQU-UHFFFAOYSA-N,FC(F)(F)c1cc(ccc1)Nc2ncccc2C(=O)O,LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,-1.721246399,0.019,282.22,223.432,140,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,WVYWICLMDOOCFB-UHFFFAOYSA-N,OC(C)CC(C)C,-1.738905355,0.018242932,216.3,179,103.5,ONSC
QUEKGYQTRJVEQC-UHFFFAOYSA-N,O=C(O)c1cc(ccc1Cl)[N+]([O-])=O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.748110468,0.017860332,201.56,151.768,-20,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,BTANRVKWQNVYAZ-UHFFFAOYSA-N,OC(C)CC,-1.746769383,0.017915569,216.3,179.912,103.5,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,MWKFXSUHUHTGQN-UHFFFAOYSA-N,OCCCCCCCCCC,-1.74641971,0.01793,178.23,168.784,32.5,ONSC
UJOBWOGCFQCDNV-UHFFFAOYSA-N,c1ccc2c(c1)c3ccccc3[nH]2,AOPDRZXCEAKHHW-UHFFFAOYSA-N,O(CCCCC)CCCCC,-1.744727495,0.018,167.21,154.384,182,ONSC
SSLKKMZJCJBOML-UHFFFAOYSA-N,Clc1nnc(cc1)SCC(=O)N(CC)CC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.72,0.019054607,259.76,225.272,196,ONSC
QRDZFPUVLYEQTA-UHFFFAOYSA-N,c21c(cccc1cccn2)C(=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.742,0.018113401,173.17,150.576,50,ONSC
OLOOJGVNMBJLLR-UHFFFAOYSA-N,O=C/3Oc2c(OC\C=C(/C)C)c1occc1cc2\C=C\3,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-1.741123371,0.01815,270.28,238.68,212.5,ONSC
ACBMYYVZWKYLIP-UHFFFAOYSA-N,CC(CCCCC)(O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.72,0.019054607,130.23,152.232,-60,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,JYVLIDXNZAXMDK-UHFFFAOYSA-N,OC(C)CCC,-1.719667036,0.019069222,216.3,179.408,103.5,ONSC
FBPFZTCFMRRESA-KVTDHHQDSA-N,O[C@H]([C@H](O)CO)[C@H](O)[C@H](O)CO,WYURNTSHIVDZCO-UHFFFAOYSA-N,O1CCCC1,-1.698970004,0.02,182.17,161.512,-26,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,-1.698970004,0.02,216.3,180.176,103.5,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,-1.698970004,0.02,216.3,180.016,103.5,ONSC
ZEYHEAKUIGZSGI-UHFFFAOYSA-N,COc1ccc(cc1)C(O)=O,DURPTKYDGMDSBL-UHFFFAOYSA-N,O(CCCC)CCCC,-1.698970004,0.02,152.15,137.208,-43,ONSC
VSMDINRNYYEDRN-UHFFFAOYSA-N,c1cc(ccc1O)I,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.7142,0.019310788,220.01,121.424,58,ONSC
ASEJLJNYULOOOK-UHFFFAOYSA-N,c1(c2c(cc(c1OC)OC)nccn2)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.71,0.019498446,205.21,182.232,257.5,ONSC
UORJNBVJVRLXMQ-UHFFFAOYSA-N,O=C1NC(=O)NC(=O)C1(C(C)C)C\C=C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.71,0.019498446,210.23,194.072,141.5,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,PGMYKACGEOXYJE-UHFFFAOYSA-N,O=C(OCCCCC)C,-1.707130421,0.019627708,212.27,178.24,118,ONSC
OIRDTQYFTABQOQ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.704,0.019769696,267.24,219.624,84.8,ONSC
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,O=C2c1ccccc1C(=O)c3c2cccc3Cl,RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,-1.700078112,0.019949035,242.65,196.424,38,ONSC
SNRUBQQJIBEYMU-UHFFFAOYSA-N,C(CCCCCCCC)CCC,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,-1.61219941,0.024423089,170.33,211.472,340,ONSC
DAUAQNGYDSHRET-UHFFFAOYSA-N,COc1c(cc(cc1)C(=O)O)OC,RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,-1.525,0.029853826,182.17,162.28,106.5,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,BKIMMITUMNQMOS-UHFFFAOYSA-N,CCCCCCCCC,-1.522878745,0.03,216.3,180.12,103.5,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,DCAYPVUWAIABOU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC,-1.522878745,0.03,216.3,179.256,103.5,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,DIOQZVSQGTUSAI-UHFFFAOYSA-N,C(CCCCCCCC)C,-1.522878745,0.03,216.3,179.76,103.5,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,RSJKGSCJYJTIGS-UHFFFAOYSA-N,C(CCCCCCCC)CC,-1.522878745,0.03,216.3,179.784,103.5,ONSC
ZEYHEAKUIGZSGI-UHFFFAOYSA-N,COc1ccc(cc1)C(O)=O,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,O(C(C)C)C(C)C,-1.522878745,0.03,152.15,137.192,-43,ONSC
UJOBWOGCFQCDNV-UHFFFAOYSA-N,c1ccc2c(c1)c3ccccc3[nH]2,DURPTKYDGMDSBL-UHFFFAOYSA-N,O(CCCC)CCCC,-1.521972976,0.030062634,167.21,153.928,182,ONSC
SJEBAWHUJDUKQK-UHFFFAOYSA-N,O=C2c1c(cccc1)C(=O)c3c2ccc(c3)CC,DIOQZVSQGTUSAI-UHFFFAOYSA-N,C(CCCCCCCC)C,-1.521000003,0.03013006,236.26,215.144,126,ONSC
XKYICAQFSCFURC-UHFFFAOYSA-N,O(CCC(C)C)C=O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.52,0.030199517,116.16,124.096,268,ONSC
UVKZSORBKUEBAZ-UHFFFAOYSA-N,C(N1CCN(CC1)C)(c2ccccc2)c3ccccc3,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.527,0.02971666,266.4,263.384,19,ONSC
SJEBAWHUJDUKQK-UHFFFAOYSA-N,O=C2c1c(cccc1)C(=O)c3c2ccc(c3)CC,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,-1.542999995,0.02864178,236.26,215.4,126,ONSC
BONIIQYTWOPUQI-UHFFFAOYSA-N,[O-][N+](=O)c1cccc2c1C(=O)NC2=O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-1.541364348,0.028749855,192.13,149.6,184.2,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,POAOYUHQDCAZBD-UHFFFAOYSA-N,CCCCOCCO,-1.540750058,0.028790549,178.23,168.592,32.5,ONSC
MWVTWFVJZLCBMC-UHFFFAOYSA-N,n1ccc(cc1)-c2ccncc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.54,0.028840315,156.18,145.24,95,ONSC
FMWLUWPQPKEARP-UHFFFAOYSA-N,C(Cl)(Cl)Br,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.54,0.028840315,163.83,79.68,179,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,VFWCMGCRMGJXDK-UHFFFAOYSA-N,ClCCCC,-1.537878631,0.028981534,212.27,178,118,ONSC
UNNGUFMVYQJGTD-UHFFFAOYSA-N,O=CC(CC)CC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.52,0.030199517,100.16,114.48,-78,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,YEYKMVJDLWJFOA-UHFFFAOYSA-N,OCCOCCC,-1.536657687,0.029063125,178.23,168.576,32.5,ONSC
VHNQIURBCCNWDN-UHFFFAOYSA-N,c1cc(nc(c1)N)N,CTQNGGLPUBDAKN-UHFFFAOYSA-N,Cc1ccccc1C,-1.531780746,0.029391331,109.13,103.52,120,ONSC
MNIPYSSQXLZQLJ-UHFFFAOYSA-N,Clc2cccc(Cl)c2Nc1ccccc1CC(=O)OCC(=O)O,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-1.529280879,0.029561,354.2,286.736,258,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,CCOCCO,-1.52790778,0.02965461,178.23,168.584,32.5,ONSC
AKCRQHGQIJBRMN-UHFFFAOYSA-N,Clc1c(cccc1)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.52,0.030199517,127.57,110.416,-50,ONSC
LUYAMNYBNTVQJG-UHFFFAOYSA-N,ClCCS(=O)(=O)CCCl,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.5,0.031622777,191.08,144.856,38,ONSC
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,O=C2c1ccccc1C(=O)c3c2cccc3Cl,QUSNBJAOOMFDIB-UHFFFAOYSA-N,CCN,-1.499547971,0.031655708,242.65,195.808,38,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,KVNRLNFWIYMESJ-UHFFFAOYSA-N,N#CCCC,-1.497191398,0.031827945,212.27,178.44,118,ONSC
SJEBAWHUJDUKQK-UHFFFAOYSA-N,O=C2c1c(cccc1)C(=O)c3c2ccc(c3)CC,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-1.494000003,0.032062693,236.26,214.648,126,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,DKPFZGUDAPQIHT-UHFFFAOYSA-N,O=C(OCCCC)C,-1.482878361,0.032894375,212.27,178.056,118,ONSC
GVPWHKZIJBODOX-UHFFFAOYSA-N,c1ccc(cc1)CSSCc1ccccc1,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-1.482737012,0.032905083,246.4,225.232,168,ONSC
SAIKULLUBZKPDA-UHFFFAOYSA-N,N(CC(CC)CCCC)CC(CCCC)CC,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,-1.500190381,0.031608917,241.46,289.776,-11,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,UNFUYWDGSFDHCW-UHFFFAOYSA-N,ClC1CCCCC1,-1.508196403,0.031031559,212.27,177.832,118,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,OCCCCCC,-1.506599481,0.031145874,216.3,179.728,103.5,ONSC
KFIRODWJCYBBHY-UHFFFAOYSA-N,O=[N+]([O-])c1cccc(c1C(=O)O)C(=O)O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(=O)C,-1.504171639,0.031320477,211.13,162.896,65,ONSC
DAUAQNGYDSHRET-UHFFFAOYSA-N,COc1c(cc(cc1)C(=O)O)OC,MWKFXSUHUHTGQN-UHFFFAOYSA-N,OCCCCCCCCCC,-1.501,0.031550046,182.17,162.808,106.5,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,WRQNANDWMGAFTP-UHFFFAOYSA-N,CC(=O)CC(=O)OC,-1.544246067,0.028559719,178.23,168.304,32.5,ONSC
SJEBAWHUJDUKQK-UHFFFAOYSA-N,O=C2c1c(cccc1)C(=O)c3c2ccc(c3)CC,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,-1.593999992,0.025468303,236.26,214.696,126,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,YIWUKEYIRIRTPP-UHFFFAOYSA-N,OCC(CC)CCCC,-1.582386748,0.026158525,216.3,179.368,103.5,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,FVSKHRXBFJPNKK-UHFFFAOYSA-N,N#CCC,-1.575476335,0.026578084,212.27,178.024,118,ONSC
PKOFBDHYTMYVGJ-UHFFFAOYSA-N,S(=O)(=O)(N)c1ccc(cc1)NC(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.61,0.024547089,214.24,178.968,191,ONSC
YKJYKKNCCRKFSL-UHFFFAOYSA-N,N1C(C(C(C1)O)OC(=O)C)Cc2ccc(cc2)OC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.61,0.024547089,265.3,247.192,10,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,-1.608904529,0.024609085,216.3,180.288,103.5,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,-1.600362317,0.025097917,216.3,179.72,103.5,ONSC
KNKRKFALVUDBJE-UHFFFAOYSA-N,ClC(CCl)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.6,0.025118864,112.98,92.816,103,ONSC
HVTICUPFWKNHNG-UHFFFAOYSA-N,CCI,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.6,0.025118864,155.97,74.584,-129,ONSC
FBRJYBGLCHWYOE-UHFFFAOYSA-N,FC(F)(F)c1c(cccc1)C(=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.6,0.025118864,190.12,142.488,82.5,ONSC
HAPOJKSPCGLOOD-UHFFFAOYSA-N,c1cccc4c1c2c(cc3c(c2)cccc3)C4,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-1.75,0.017782794,216.28,202.416,265,ONSC
BGRJTUBHPOOWDU-UHFFFAOYSA-N,O=S(=O)(N)c1cc(c(OC)cc1)C(=O)NCC2N(CC)CCC2,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(=O)C,-1.558456276,0.027640362,341.4,305.192,224,ONSC
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,O=C(Oc1ccccc1C(=O)O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.556737013,0.02775,180.16,156.44,287,ONSC
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,O=S(=O)(Nc1nc(nc(c1)C)C)c2ccc(N)cc2,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-1.552841969,0.028,278.33,239.92,269,ONSC
ZZORFUFYDOWNEF-UHFFFAOYSA-N,O=S(=O)(Nc1nc(OC)nc(OC)c1)c2ccc(N)cc2,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-1.552841969,0.028,310.33,258.464,142.5,ONSC
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,O=S(=O)(Nc1nc(nc(c1)C)C)c2ccc(N)cc2,RYHBNJHYFVUHQT-UHFFFAOYSA-N,O1CCOCC1,-1.548956441,0.028251633,278.33,240.048,269,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC,-1.54833592,0.028292028,216.3,180.096,103.5,ONSC
HYYBABOKPJLUIN-UHFFFAOYSA-N,O=C(O)c2c(Nc1cccc(c1C)C)cccc2,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-1.547493238,0.028346978,241.28,225.992,84.3,ONSC
SJEBAWHUJDUKQK-UHFFFAOYSA-N,O=C2c1c(cccc1)C(=O)c3c2ccc(c3)CC,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,-1.573000001,0.026730064,236.26,214.776,126,ONSC
NIQCNGHVCWTJSM-UHFFFAOYSA-N,COC(=O)C1=CC=CC=C1C(=O)OC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.57,0.026915348,194.18,172.432,-49,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,XNWFRZJHXBZDAG-UHFFFAOYSA-N,OCCOC,-1.569395952,0.02695281,178.23,168.96,32.5,ONSC
MXWJVTOOROXGIU-UHFFFAOYSA-N,CC/N=c/1\[nH]/c(=N/C(C)C)/[nH]c(n1)Cl,IDGUHHHQCWSQLU-UHFFFAOYSA-N,CCO.O,-1.569145387,0.026968365,215.68,193.072,41,ONSC
OUHCZCFQVONTOC-UHFFFAOYSA-N,C(COC(=O)C)(COC(=O)C)(COC(=O)C)COC(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.569,0.026977394,304.29,277.568,292,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,XCIXKGXIYUWCLL-UHFFFAOYSA-N,OC1CCCC1,-1.567663317,0.027060554,212.27,178.32,118,ONSC
GHICCUXQJBDNRN-UHFFFAOYSA-N,O=C(O)c1ccc(I)cc1,QUSNBJAOOMFDIB-UHFFFAOYSA-N,CCN,-1.75,0.017782794,248.02,141.32,264,ONSC
IWDDXZKCDHOOSF-UHFFFAOYSA-N,N1C(=O)NC(=O)C(C1=O)(O)C2(C(=O)NC(=O)NC2=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.99,0.01023293,286.16,208.312,485,ONSC
CDOSHBSSFJOMGT-UHFFFAOYSA-N,OC(CCC=C(C)C)(C)C=C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.99,0.01023293,154.25,174.624,132.5,ONSC
KJCVRFUGPWSIIH-UHFFFAOYSA-N,Oc2cccc1ccccc12,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.9816,0.010432779,144.17,134.44,-37,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,PRNCMAKCNVRZFX-UHFFFAOYSA-N,OCCC(CCCC(C)C)C,-1.981260311,0.010440942,178.23,167.976,32.5,ONSC
BRBKOPJOKNSWSG-UHFFFAOYSA-N,O=S(=O)(/N=C(\N)N)c1ccc(N)cc1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.98,0.010471285,214.25,178.752,121,ONSC
