Solute InChIKey,Solute SMILES,Solvent InChIKey,Solvent SMILES,LogS,Concentration,MW,Volume,MP,Source
CPJSUEIXXCENMM-UHFFFAOYSA-N,O=C(Nc1ccc(OCC)cc1)C,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-0.515700161,0.305,179.22,173.232,129,ONSC
CPJSUEIXXCENMM-UHFFFAOYSA-N,O=C(Nc1ccc(OCC)cc1)C,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,-0.512861625,0.307,179.22,173.632,129,ONSC
KGCNHWXDPDPSBV-UHFFFAOYSA-N,ClCc1ccc([N+]([O-])=O)cc1,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-0.508682977,0.309968115,171.58,139.88,-95.2,ONSC
DFXQXFGFOLXAPO-UHFFFAOYSA-N,O=[N+]([O-])c1cc(ccc1Cl)C(=O)O,LRHPLDYGYMQRHN-UHFFFAOYSA-N,OCCCC,-0.508638306,0.31,201.56,151.192,-66.5,ONSC
WURBFLDFSFBTLW-UHFFFAOYSA-N,c1ccc(cc1)C(=O)C(=O)c2ccccc2,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,-0.507855888,0.310558994,210.23,191.328,300,ONSC
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,O=C(Oc1ccccc1C(=O)O)C,WVYWICLMDOOCFB-UHFFFAOYSA-N,OC(C)CC(C)C,-0.507647275,0.310708207,180.16,156.8,287,ONSC
ZEYHEAKUIGZSGI-UHFFFAOYSA-N,COc1ccc(cc1)C(O)=O,HCGFUIQPSOCUHI-UHFFFAOYSA-N,OCCOC(C)C,-0.505627655,0.312156473,152.15,136.896,-43,ONSC
VYWYYJYRVSBHJQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(cc([N+]([O-])=O)c1)C(=O)O,JYVLIDXNZAXMDK-UHFFFAOYSA-N,OC(C)CCC,-0.519605953,0.302269305,212.12,161.8,-76,ONSC
SKZKKFZAGNVIMN-UHFFFAOYSA-N,O=C(c1ccccc1O)N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC,-0.53313238,0.293,137.14,123.056,247.5,ONSC
LZXXNPOYQCLXRS-UHFFFAOYSA-N,O=C(OC)c1ccc(N)cc1,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-0.53,0.295120923,151.16,140.472,134.5,ONSC
RJKGJBPXVHTNJL-UHFFFAOYSA-N,[O-][N+](=O)c2cccc1ccccc12,JYVLIDXNZAXMDK-UHFFFAOYSA-N,OC(C)CCC,-0.529295556,0.29560001,173.17,149.752,55,ONSC
RZEKVGVHFLEQIL-UHFFFAOYSA-N,O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-0.524672818,0.298763255,381.4,303.792,255,ONSC
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,O=C(Oc1ccccc1C(=O)O)C,QPRQEDXDYOZYLA-UHFFFAOYSA-N,OCC(C)CC,-0.504374045,0.313058828,180.16,156.224,287,ONSC
ILUJQPXNXACGAN-UHFFFAOYSA-N,O=C(O)c1ccccc1OC,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-0.522878745,0.3,152.15,136.304,-115,ONSC
BMLIZLVNXIYGCK-UHFFFAOYSA-N,Clc1ccc(NC(=O)N(C)C)cc1,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-0.52,0.301995172,198.65,176.04,110,ONSC
DFXQXFGFOLXAPO-UHFFFAOYSA-N,O=[N+]([O-])c1cc(ccc1Cl)C(=O)O,JYVLIDXNZAXMDK-UHFFFAOYSA-N,OC(C)CCC,-0.522878745,0.3,201.56,150.816,-66.5,ONSC
