Solute InChIKey,Solute SMILES,Solvent InChIKey,Solvent SMILES,LogS,Concentration,MW,Volume,Source
JTGMTYWYUZDRBK-UHFFFAOYSA-N,Cc1c3c(c(c2c1cccc2)C)cccc3,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-6.570000775,2.69153E-07,206.28,198.36,ONSC
MFYSYFVPBJMHGN-ZPOLXVRWSA-N,O=C(CO)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)CC[C@]1(C)[C@H]4C(=O)C[C@@]23C,YZUUTMGDONTGTN-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO,-1.66,0.021877616,360.4,329.44,ONSC
XXOYNJXVWVNOOJ-UHFFFAOYSA-N,O=C(Nc1ccccc1)N(C)C,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-1.659811887,0.021887095,164.2,160.232,ONSC
DGFBULNMARLFTH-UHFFFAOYSA-N,O(C(CCO[N+](=O)[O-])C)[N+](=O)[O-],XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.659,0.021928049,180.12,148.528,ONSC
PZPZDEIASIKHPY-UHFFFAOYSA-N,O=C(c1cc(ccc1N)[N+]([O-])=O)c2ccccc2,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-1.658286972,0.021964081,242.23,209.16,ONSC
RXJIGRPQCMIWMF-UHFFFAOYSA-N,c1(ccc(cc1)OCC)N(C(=O)N)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.658,0.021978599,194.23,186.304,ONSC
KOTUCVMGXNNUJL-UHFFFAOYSA-N,c1(ccccc1)C(C(=O)NC(c2ccccc2)C)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.658,0.021978599,254.33,246.728,ONSC
CPJSUEIXXCENMM-UHFFFAOYSA-N,O=C(Nc1ccc(OCC)cc1)C,UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,-1.657577319,0.022,179.22,173.56,ONSC
YSSSPARMOAYJTE-UHFFFAOYSA-N,O1c3c(OCCOCCOc2ccccc2OCCOCC1)cccc3,WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCOC1,-1.657577319,0.022,360.4,330,ONSC
RTBHKOWSOJOEPS-UHFFFAOYSA-N,C1(C(C(C(CO1)O)O)O)Oc2ccccc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.656,0.022080047,226.23,197.608,ONSC
WQLVFSAGQJTQCK-UHFFFAOYSA-N,OC2C/C1=C/CC5C(C1(C)CC2)CCC6(C4C(OC3(OCC(CC3)C)C4C)CC56)C,XEKOWRVHYACXOJ-UHFFFAOYSA-N,O=C(OCC)C,-1.655511037,0.022104921,414.6,409.592,ONSC
RXKNNAKAVAHBNK-UHFFFAOYSA-N,c1c[n+](ccc1[N+](=O)[O-])[O-],WVYWICLMDOOCFB-UHFFFAOYSA-N,OC(C)CC(C)C,-1.653647026,0.0222,140.1,113.672,ONSC
RXKNNAKAVAHBNK-UHFFFAOYSA-N,c1c[n+](ccc1[N+](=O)[O-])[O-],BBMCTIGTTCKYKF-UHFFFAOYSA-N,OCCCCCCC,-1.653647026,0.0222,140.1,113.576,ONSC
WURBVZBTWMNKQT-UHFFFAOYSA-N,Clc2ccc(OC(C(=O)C(C)(C)C)n1ncnc1)cc2,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,-1.653352884,0.022215041,293.75,257.68,ONSC
WTJMJAZVXNFVHB-UHFFFAOYSA-N,CC(C)CC(C(=O)OC)NC(=O)COC(=O)CC1=CC=CC=CC1NC2=C(C=CC=CC2Cl)Cl,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.653255945,0.02222,509.4,450.296,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,PHTQWCKDNZKARW-UHFFFAOYSA-N,OCCC(C)C,-1.652202369,0.02227397,216.3,179.496,ONSC
VQDXQNNYGSEHPU-UHFFFAOYSA-N,N2C(=O)NC(=O)C1(CCC1)C2=O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.65,0.022387211,168.15,142.464,ONSC
MAZCFXDIYXGRAD-UHFFFAOYSA-N,c21c(cc(s1)S(=O)(=O)N)C(CCS2(=O)=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.65,0.022387211,283.4,203.576,ONSC
BGRJTUBHPOOWDU-UHFFFAOYSA-N,O=S(=O)(N)c1cc(c(OC)cc1)C(=O)NCC2N(CC)CCC2,DHXVGJBLRPWPCS-UHFFFAOYSA-N,O1CCCCC1,-1.649409861,0.022417653,341.4,305.28,ONSC
SKZKKFZAGNVIMN-UHFFFAOYSA-N,O=C(c1ccccc1O)N,PYLWMHQQBFSUBP-UHFFFAOYSA-N,Fc1ccccc1,-1.649199821,0.022428497,137.14,122.696,ONSC
QSNSCYSYFYORTR-UHFFFAOYSA-N,Clc1ccc(cc1)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.66,0.021877616,127.57,110.68,ONSC
ISAOCJYIOMOJEB-UHFFFAOYSA-N,c1ccc(cc1)C(C(=O)c2ccccc2)O,DKGAVHZHDRPRBM-UHFFFAOYSA-N,CC(C)(C)O,-1.663228984,0.021715559,212.24,197.216,ONSC
YVUQSNJEYSNKRX-UHFFFAOYSA-N,Fc1ccc(cc1)C(c2ccc(F)cc2)CCCN5CCC(N4c3ccccc3NC4=O)CC5,YXFVVABEGXRONW-UHFFFAOYSA-N,c1ccccc1C,-1.664394751,0.021657347,461.5,417.12,ONSC
BXAOUWIVXLQYOZ-UHFFFAOYSA-N,O=C(CNC(=O)OC(C)(C)C)N(Cc1ccco1)C(c2ccccc2)C(=O)NC(C)(C)C,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,-1.664484079,0.021652893,443.5,423.08,ONSC
LYIKHGOXEXNKEV-UHFFFAOYSA-N,O=C2c1ccccc1C(=O)N2C3C(=O)N(C(=O)CC3)CCC,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-1.68,0.020892961,300.31,265.664,ONSC
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(C(=O)O)ccc1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.68,0.020892961,167.12,137.048,ONSC
QIAFMBKCNZACKA-UHFFFAOYSA-N,c1ccc(cc1)C(=O)NCC(=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.68,0.020892961,179.17,160.208,ONSC
PAAZPARNPHGIKF-UHFFFAOYSA-N,BrCCBr,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.68,0.020892961,187.86,85.12,ONSC
VIZORQUEIQEFRT-UHFFFAOYSA-N,C(=O)(CCCCC(=O)OCC)OCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.68,0.020892961,202.25,202.88,ONSC
MFYSYFVPBJMHGN-ZPOLXVRWSA-N,O=C(CO)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)CC[C@]1(C)[C@H]4C(=O)C[C@@]23C,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,-1.679853714,0.0209,360.4,330.64,ONSC
QGZBWVROTIMWPF-UHFFFAOYSA-N,c1cc(ccc1CC(C(=O)O)N(CCC#N)CCC#N)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.679,0.020941125,287.31,267.752,ONSC
QELUAJBXJAWSRC-UHFFFAOYSA-N,[N+](=O)(OCCCCO[N+](=O)[O-])[O-],XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.678,0.020989399,180.12,149.032,ONSC
OIGXDZJSRMPECU-UHFFFAOYSA-N,C1(=CC=CC=C1)N(O)C(C2=CC(=C(C=C2)C)[N+](=O)[O-])=O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.677999997,0.020989399,272.26,235.632,ONSC
VYMDGNCVAMGZFE-UHFFFAOYSA-N,O=C2N(c1ccccc1)N(C(=O)C2CCCC)c3ccccc3,HVQYDIHGXSIMTE-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO.O,-1.675,0.02113489,308.4,292.048,ONSC
ISAOCJYIOMOJEB-UHFFFAOYSA-N,c1ccc(cc1)C(C(=O)c2ccccc2)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,OC(C)CC,-1.672709977,0.021246628,212.24,195.864,ONSC
QPPBRPIAZZHUNT-UHFFFAOYSA-N,O=S(=O)(Nc1nc(ccn1)C)c2ccc(N)cc2,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,-1.645315446,0.02263,264.31,223.152,ONSC
CKAPSXZOOQJIBF-UHFFFAOYSA-N,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,-1.672028376,0.02128,284.8,174.016,ONSC
YYLLIJHXUHJATK-UHFFFAOYSA-N,O(C1CCCCC1)C(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.67,0.021379621,142.2,146.08,ONSC
NPPQSCRMBWNHMW-UHFFFAOYSA-N,O=C(OCC(COC(=O)N)(C)CCC)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.67,0.021379621,218.25,209.84,ONSC
PUAVVYSZRNWCGP-UHFFFAOYSA-N,n1(c(c(c(n1)C)C)N)-c2ccccc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.67,0.021379621,187.24,181.832,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,-1.669788782,0.021390021,216.3,179.768,ONSC
CKAPSXZOOQJIBF-UHFFFAOYSA-N,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,XEKOWRVHYACXOJ-UHFFFAOYSA-N,O=C(OCC)C,-1.669586227,0.0214,284.8,173.624,ONSC
ZZPALFUTTVIEEB-UHFFFAOYSA-N,C2(c1ccccc1)CC(=O)C(C(=O)C2)[N+](=O)[O-],XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.669,0.021428906,233.22,201.312,ONSC
ISAOCJYIOMOJEB-UHFFFAOYSA-N,c1ccc(cc1)C(C(=O)c2ccccc2)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,-1.668373222,0.021459855,212.24,197.904,ONSC
VPGYQOPHCDIWSQ-UHFFFAOYSA-N,c1(ccccc1)C(=O)OCC(=O)N(CC(=O)OCC)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.668,0.021478305,279.29,256.192,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,MSXVEPNJUHWQHW-UHFFFAOYSA-N,OC(C)(C)CC,-1.665654377,0.021594623,216.3,179.76,ONSC
YVUQSNJEYSNKRX-UHFFFAOYSA-N,Fc1ccc(cc1)C(c2ccc(F)cc2)CCCN5CCC(N4c3ccccc3NC4=O)CC5,XEKOWRVHYACXOJ-UHFFFAOYSA-N,O=C(OCC)C,-1.671348536,0.021313338,461.5,415.592,ONSC
YMABTXMPJQRLCQ-UHFFFAOYSA-N,c1(ccc(cc1)NC(=O)C)C(=O)OCCN(CC)CC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.645,0.022646443,278.35,271.384,ONSC
ZGBHFYITZDYZPR-UHFFFAOYSA-N,c1(ccccc1)C(=O)NC(CCC(=O)O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.644,0.022698649,221.25,210.344,ONSC
VOXZDWNPVJITMN-SFFUCWETSA-N,Oc1cc3c(cc1)[C@H]2CC[C@@]4([C@H](O)CC[C@H]4[C@@H]2CC3)C,HVQYDIHGXSIMTE-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO.O,-1.629,0.023496328,272.4,263.48,ONSC
IKGXIBQEEMLURG-NVPNHPEKSA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)Oc3c(=O)c4c(cc(cc4oc3c5ccc(c(c5)O)O)O)O)O)O)O)O)O)O,BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,-1.627998364,0.023550582,610.5,494.176,ONSC
ZVGODTQUYAKZMK-UHFFFAOYSA-N,C1(=CNC(=O)NC1=O)CC(=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.626,0.023659197,170.12,136.824,ONSC
JGSARLDLIJGVTE-UHFFFAOYSA-N,N31C(C(C1=O)NC(=O)Cc2ccccc2)SC(C3C(=O)O)(C)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.625,0.023713737,334.4,290.296,ONSC
POLCUAVZOMRGSN-UHFFFAOYSA-N,O(CCC)CCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.62,0.023988329,102.17,120.504,ONSC
FZSVSABTBYGOQH-UHFFFAOYSA-N,S(CC(=NOC(=O)NC)C(C)(C)C)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.62,0.023988329,218.32,210.512,ONSC
YHRUOJUYPBUZOS-UHFFFAOYSA-N,C(CCCl)Cl,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.62,0.023988329,112.98,92.952,ONSC
YRMLFORXOOIJDR-UHFFFAOYSA-N,ClC(Cl)C(=O)N(CC=C)CC=C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.62,0.023988329,208.08,180.28,ONSC
OIGNJSKKLXVSLS-VWUMJDOOSA-N,O=C\1\C=C/[C@]4(/C(=C/1)CC[C@@H]2[C@@H]4[C@@H](O)C[C@@]3([C@@](O)(C(=O)CO)CC[C@@H]23)C)C,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-1.62,0.023988329,360.4,330.272,ONSC
PQFDUCZWWSHNBL-UHFFFAOYSA-N,N1(C(=O)C(=C(N1C)C)NC(=O)NCCCC)c2ccccc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.629,0.023496328,302.37,288.72,ONSC
SKZKKFZAGNVIMN-UHFFFAOYSA-N,O=C(c1ccccc1O)N,DURPTKYDGMDSBL-UHFFFAOYSA-N,O(CCCC)CCCC,-1.619788758,0.024,137.14,122.496,ONSC
QFAAHFQCTYZMLF-UHFFFAOYSA-N,Cc1ccc(cc1)C2(CCN(CC2)CCCC(=O)c3ccccc3)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.619,0.024043628,337.5,330.728,ONSC
FYJJXENSONZJRG-UHFFFAOYSA-N,C2(Cc1ccccc1)(OCCCN(C)C)CCCCCC2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.619,0.024043628,289.5,306.288,ONSC
YLYIXDZITBMCIW-UHFFFAOYSA-N,O=C(N(O)c1ccccc1)c2ccccc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.619,0.024043628,213.23,194.128,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,RUOJZAUFBMNUDX-UHFFFAOYSA-N,CC1COC(=O)O1,-1.61865269,0.024062864,178.23,168.896,ONSC
VYMDGNCVAMGZFE-UHFFFAOYSA-N,O=C2N(c1ccccc1)N(C(=O)C2CCCC)c3ccccc3,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.618,0.024099054,308.4,291.352,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,CNDHHGUSRIZDSL-UHFFFAOYSA-N,ClCCCCCCCC,-1.617156117,0.024145927,212.27,177.824,ONSC
UJOBWOGCFQCDNV-UHFFFAOYSA-N,c1ccc2c(c1)c3ccccc3[nH]2,UNFUYWDGSFDHCW-UHFFFAOYSA-N,ClC1CCCCC1,-1.617126266,0.024147587,167.21,154.448,ONSC
BLUAFEHZUWYNDE-NNWCWBAJSA-N,O=C3O[C@@H]4O[C@@]1(OO[C@@]42[C@@H](CC1)[C@H](C)CC[C@H]2[C@H]3C)C,BZLVMXJERCGZMT-UHFFFAOYSA-N,O(C(C)(C)C)C,-1.616159784,0.024201385,282.33,252.024,ONSC
GNFOQSWHSQTXHR-UHFFFAOYSA-N,C(NC(=O)c1ccccc1)(C(=O)N)(C)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.615,0.024266101,206.24,195.08,ONSC
QGJZLNKBHJESQX-FZFNOLFKSA-N,O=C(O)[C@@]54[C@@H]([C@@H]3[C@@]([C@]1([C@@H]([C@]2(C)[C@@H](CC1)C(C)(C)[C@@H](O)CC2)CC3)C)(C)CC4)[C@H](C(=C)\C)CC5,AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC,-1.613068447,0.024374266,456.7,455.824,ONSC
KZTYYGOKRVBIMI-UHFFFAOYSA-N,O=S(=O)(c1ccccc1)c2ccccc2,MWKFXSUHUHTGQN-UHFFFAOYSA-N,OCCCCCCCCCC,-1.612558647,0.024402895,218.27,188.512,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,-1.619698339,0.024004997,216.3,179.272,ONSC
CKAPSXZOOQJIBF-UHFFFAOYSA-N,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,DIOQZVSQGTUSAI-UHFFFAOYSA-N,C(CCCCCCCC)C,-1.629301907,0.02348,284.8,173.984,ONSC
SATCULPHIDQDRE-UHFFFAOYSA-N,O1COc2c1cc(cc2)C=O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.63,0.023442288,150.13,127.52,ONSC
CKAPSXZOOQJIBF-UHFFFAOYSA-N,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,-1.643974143,0.0227,284.8,174.2,ONSC
CKAPSXZOOQJIBF-UHFFFAOYSA-N,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,BKIMMITUMNQMOS-UHFFFAOYSA-N,CCCCCCCCC,-1.642255675,0.02279,284.8,200.984,ONSC
WQZGKKKJIJFFOK-GASJEMHNSA-N,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-1.641356251,0.022837247,180.16,152.016,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,PFNHSEQQEPMLNI-UHFFFAOYSA-N,OCC(C)CCC,-1.641230635,0.022843853,216.3,180.128,ONSC
HBEWADIWKZVJSD-UHFFFAOYSA-N,c1(ccccc1)C(=O)OCC(=O)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.641,0.022855988,179.17,160.944,ONSC
FSVJFNAIGNNGKK-UHFFFAOYSA-N,O=C4N2C(c1c(cccc1)CC2)CN(C(=O)C3CCCCC3)C4,HVQYDIHGXSIMTE-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO.O,-1.64,0.022908677,312.4,296.016,ONSC
CVHZOJJKTDOEJC-UHFFFAOYSA-N,S1(=O)(=O)NC(=O)c2c1cccc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.64,0.022908677,183.19,139.888,ONSC
WEEGYLXZBRQIMU-UHFFFAOYSA-N,O1C2(CCC(C1(C)C)CC2)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.64,0.022908677,154.25,163.976,ONSC
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.64,0.022908677,78.11,83.016,ONSC
LGXVIGDEPROXKC-UHFFFAOYSA-N,C(=C)(Cl)Cl,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.64,0.022908677,96.94,70.072,ONSC
IBXNCJKFFQIKKY-UHFFFAOYSA-N,C#CCCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.64,0.022908677,68.12,84.376,ONSC
DQMZLTXERSFNPB-UHFFFAOYSA-N,O=C1NCNC(=O)C1(c2ccccc2)CC,YZUUTMGDONTGTN-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO,-1.63,0.023442288,218.25,200.88,ONSC
STDBAQMTJLUMFW-UHFFFAOYSA-N,O=C1NC(=O)NC(=O)C1(CCCC)CC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.64,0.022908677,212.25,200.36,ONSC
SFNCEGFOAIRTAL-UHFFFAOYSA-N,S(=O)(=O)(C(C(=O)N)C)c1ccccc1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.639,0.022961486,213.26,183.04,ONSC
DWMREKMVXIFPFM-QBFSEMIESA-N,O=C\2c1c(cccc1)S(=O)(=O)N(C/2=C(\O)Nc3ncc(s3)C)C,HEDRZPFGACZZDS-UHFFFAOYSA-N,ClC(Cl)Cl,-1.638246896,0.023001338,351.4,277.416,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,BTGRAWJCKBQKAO-UHFFFAOYSA-N,N#CCCCCC#N,-1.637727519,0.023028862,178.23,168.312,ONSC
OIRDTQYFTABQOQ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,YZUUTMGDONTGTN-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO,-1.637,0.023067472,267.24,218.224,ONSC
CKAPSXZOOQJIBF-UHFFFAOYSA-N,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,DCAYPVUWAIABOU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC,-1.635261445,0.02316,284.8,201.088,ONSC
AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,HVQYDIHGXSIMTE-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO.O,-1.635,0.023173946,296.5,264.784,ONSC
RXKNNAKAVAHBNK-UHFFFAOYSA-N,c1c[n+](ccc1[N+](=O)[O-])[O-],ZSIAUFGUXNUGDI-UHFFFAOYSA-N,OCCCCCC,-1.634512015,0.0232,140.1,113.448,ONSC
VYMDGNCVAMGZFE-UHFFFAOYSA-N,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-1.634,0.023227368,308.4,290.888,ONSC
QGJZLNKBHJESQX-FZFNOLFKSA-N,O=C(O)[C@@]54[C@@H]([C@@H]3[C@@]([C@]1([C@@H]([C@]2(C)[C@@H](CC1)C(C)(C)[C@@H](O)CC2)CC3)C)(C)CC4)[C@H](C(=C)\C)CC5,BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,-1.631861387,0.023342029,456.7,457.056,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,JSGVZVOGOQILFM-UHFFFAOYSA-N,OCCC(OC)C,-1.630440467,0.023418525,178.23,168.616,ONSC
LCLCVVVHIPPHCG-UHFFFAOYSA-N,O=C(C(C)(C)C)CC(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.63,0.023442288,142.2,150.904,ONSC
IYYZUPMFVPLQIF-UHFFFAOYSA-N,c1ccc2c(c1)c3ccccc3s2,BDAGIHXWWSANSR-UHFFFAOYSA-N,C(=O)O,-1.639681384,0.022925489,184.26,160.088,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,-1.612330846,0.024415699,216.3,180.144,ONSC
PZPZDEIASIKHPY-UHFFFAOYSA-N,O=C(c1cc(ccc1N)[N+]([O-])=O)c2ccccc2,YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,-1.681831497,0.020805038,242.23,209.712,ONSC
QGJZLNKBHJESQX-FZFNOLFKSA-N,O=C(O)[C@@]54[C@@H]([C@@H]3[C@@]([C@]1([C@@H]([C@]2(C)[C@@H](CC1)C(C)(C)[C@@H](O)CC2)CC3)C)(C)CC4)[C@H](C(=C)\C)CC5,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,-1.683601424,0.020720421,456.7,457.616,ONSC
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,O=C2c1ccccc1C(=O)c3c2cccc3Cl,BZLVMXJERCGZMT-UHFFFAOYSA-N,O(C(C)(C)C)C,-1.736836107,0.01833006,242.65,196.112,ONSC
HCUARRIEZVDMPT-UHFFFAOYSA-N,c1ccc2c(c1)cc([nH]2)C(=O)O,YMWUJEATGCHHMB-UHFFFAOYSA-N,C(Cl)Cl,-1.735206628,0.018398964,161.16,140.008,ONSC
ISAOCJYIOMOJEB-UHFFFAOYSA-N,c1ccc(cc1)C(C(=O)c2ccccc2)O,KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,-1.735199447,0.018399268,212.24,196.48,ONSC
GWOFUCIGLDBNKM-UHFFFAOYSA-N,O=C(OCC(O)CO)c1ccccc1Nc2c3ccc(Cl)cc3ncc2,HVQYDIHGXSIMTE-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO.O,-1.734,0.018450154,372.8,314.16,ONSC
ISAOCJYIOMOJEB-UHFFFAOYSA-N,c1ccc(cc1)C(C(=O)c2ccccc2)O,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CC(C)CO,-1.733699812,0.018462911,212.24,198.336,ONSC
DGBIGWXXNGSACT-UHFFFAOYSA-N,[O-][N+](=O)c3cc\1c(NC(=O)C/N=C/1c2ccccc2Cl)cc3,DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(O)CO,-1.732828272,0.0185,315.71,251.504,ONSC
KKIYXTAGNVTYLV-UHFFFAOYSA-N,OC1(C=CC(=O)C=C1)c2c(ccc(c2)O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.73,0.018620871,218.2,188.024,ONSC
ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,O1C(=O)C=Cc2ccccc21,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.73,0.018620871,146.14,127.152,ONSC
CYNYIHKIEHGYOZ-UHFFFAOYSA-N,BrCCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.73,0.018620871,122.99,82.016,ONSC
HEWGVSGLMQJYHJ-UHFFFAOYSA-N,Fc1cc(cc(F)c1Br)N2C(=O)C=CC2=O,RYHBNJHYFVUHQT-UHFFFAOYSA-N,O1CCOCC1,-1.729940323,0.01862343,288.04,182.848,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,O(C(C)C)C(C)C,-1.728452199,0.018687354,178.23,168.296,ONSC
GMRLYFSSMHOUNB-IZZDOVSWSA-N,C/C(=N\NC(=O)c1nccs1)/CCC(=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.728,0.018706821,241.27,204.704,ONSC
