Solute InChIKey,Solute SMILES,Solvent InChIKey,Solvent SMILES,LogS,Concentration,MW,Volume,Source
VYWYYJYRVSBHJQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(cc([N+]([O-])=O)c1)C(=O)O,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,O(C(C)C)C(C)C,-1.170688138,0.067501257,212.12,161.768,ONSC
RXKNNAKAVAHBNK-UHFFFAOYSA-N,c1c[n+](ccc1[N+](=O)[O-])[O-],DKPFZGUDAPQIHT-UHFFFAOYSA-N,O=C(OCCCC)C,-1.15490196,0.07,140.1,113.424,ONSC
OTLNPYWUJOZPPA-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(C(=O)O)cc1,WVYWICLMDOOCFB-UHFFFAOYSA-N,OC(C)CC(C)C,-1.15490196,0.07,167.12,136.832,ONSC
ZEYHEAKUIGZSGI-UHFFFAOYSA-N,COc1ccc(cc1)C(O)=O,MWKFXSUHUHTGQN-UHFFFAOYSA-N,OCCCCCCCCCC,-1.15490196,0.07,152.15,137.312,ONSC
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,O=C2c1ccccc1C(=O)c3c2cccc3Cl,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(=O)C,-1.147744842,0.071163149,242.65,195.744,ONSC
VLYWMPOKSSWJAL-UHFFFAOYSA-N,O=S(=O)(Nc1nnc(OC)cc1)c2ccc(N)cc2,DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(CO)O,-1.144342466,0.071722849,280.31,232.136,ONSC
ZGWOCNDIGLJDDX-UHFFFAOYSA-N,c21c(nc(c(n1)C)C)cnc(n2)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.144,0.071779429,174.2,160.016,ONSC
IYYZUPMFVPLQIF-UHFFFAOYSA-N,c1ccc2c(c1)c3ccccc3s2,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-1.143646429,0.07183789,184.26,159.832,ONSC
IYIAWAACGTUPCC-UHFFFAOYSA-N,S(=O)(=O)(N(CC)CC)N(CC)CC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.143,0.071944898,208.32,204.056,ONSC
NQTPEBUGIFUYEC-UHFFFAOYSA-N,Oc1ccc(cc1OC)C=Nc2ccccc2,WEVYAHXRMPXWCK-UHFFFAOYSA-N,C(C)#N,-1.142667504,0.072,227.26,211.656,ONSC
NQTPEBUGIFUYEC-UHFFFAOYSA-N,Oc1ccc(cc1OC)C=Nc2ccccc2,RHQDFWAXVIIEBN-UHFFFAOYSA-N,FC(F)(F)CO,-1.142667504,0.072,227.26,211.376,ONSC
VLYWMPOKSSWJAL-UHFFFAOYSA-N,O=S(=O)(Nc1nnc(OC)cc1)c2ccc(N)cc2,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-1.142667504,0.072,280.31,232.472,ONSC
YSSSPARMOAYJTE-UHFFFAOYSA-N,O1c3c(OCCOCCOc2ccccc2OCCOCC1)cccc3,KWOLFJPFCHCOCG-UHFFFAOYSA-N,CC(=O)c1ccccc1,-1.142667504,0.072,360.4,330.4,ONSC
FZERHIULMFGESH-UHFFFAOYSA-N,O=C(Nc1ccccc1)C,AXISYYRBXTVTFY-UHFFFAOYSA-N,O=C(OC(C)C)CCCCCCCCCCCCC,-1.141462802,0.0722,135.16,131.88,ONSC
GKODDAXOSGGARJ-UHFFFAOYSA-N,Fc1cc2c(cc1)NC(=O)C2=O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-1.14943573,0.07088662,165.12,130.168,ONSC
AWIJPALBOQNRBS-UHFFFAOYSA-N,n2c1ncc(nc1cnc2)OC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.14,0.072443596,162.15,137.176,ONSC
PCWGTDULNUVNBN-UHFFFAOYSA-N,C(CCC(C)C)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.14,0.072443596,102.17,120.528,ONSC
